50
50
2,-2,43,-58,4,37,-47,-99,-22,-64,29,-96,-81,12,-39,-78,-4,-18,-39,-1,51,-87,5,25,23,7,-80,32,65,-14,60,73,-70,-24,-96,-83,38,56,38,12,-95,-65,-54,-49,12,72,-28,-68,-87,13
44,98,-62,14,-94,-43,51,-94,75,-68,-39,70,-64,51,-35,-2,-62,-53,-85,45,82,-83,13,86,93,-26,-22,35,9,-50,73,-83,89,64,86,75,22,-61,-94,-92,-96,-3,-98,-87,-68,41,-55,-76,83,-36
57,-22,10,21,-64,-41,-44,-44,2,-11,98,60,-35,-52,-75,-29,92,-6,67,-73,82,-28,93,23,-66,42,63,-19,97,34,55,54,7,-14,-4,-100,-76,42,-6,-34,84,-80,-33,-31,-90,0,65,41,56,83
17,28,61,16,54,20,76,44,-42,37,92,-52,82,-30,-27,66,60,-5,64,77,38,-38,-62,-18,9,-39,-47,36,-29,-35,-27,94,-91,-26,81,78,-50,19,42,-68,-46,74,76,76,33,27,8,55,0,43
0,-72,13,-64,-67,-90,-65,53,17,3,83,-21,24,62,-65,-21,5,46,-32,27,6,11,-30,-8,7,30,-96,70,100,100,-60,-41,52,23,-74,-27,60,35,63,76,80,52,79,-58,1,80,-29,40,-96,-97
-81,52,51,-50,-40,-91,-90,4,-54,-58,-45,-41,7,17,-47,75,-51,78,-35,-37,-41,-18,-68,-9,-29,18,94,32,36,-80,-97,-22,50,-88,46,71,86,-21,8,-69,-73,-71,23,0,-56,-21,20,-98,-47,-11
36,-97,29,-25,-76,67,38,-30,83,-64,63,51,17,96,90,30,44,97,41,73,-4,-86,48,-88,15,-96,-81,57,22,41,-74,-63,47,73,-21,25,-31,-39,-74,24,-17,13,-86,-43,95,-9,-4,56,-8,39
-16,-39,-63,-93,25,-2,31,74,-39,-93,85,-18,-98,64,53,-10,56,-100,-33,-49,76,-1,-88,-77,-66,-91,-12,63,-78,99,-42,-43,55,-19,-82,16,-63,86,-5,-38,-21,-75,89,45,64,20,-81,82,-98,-49
18,-22,-10,89,62,51,21,-34,11,79,24,-11,9,-70,-25,20,28,37,-28,-47,42,-30,-8,-30,-63,-56,67,90,-20,-71,71,0,1,92,-19,79,-76,-80,49,-16,-63,-47,-51,93,75,35,80,58,-89,85
57,-15,-42,8,-44,-95,-49,77,77,-61,-40,-54,-81,-94,-84,3,8,-22,73,-27,-92,13,20,14,94,59,78,-40,-20,49,89,-88,6,89,83,-95,-90,63,-72,30,-20,-100,28,44,6,32,24,5,-38,-44
23,91,92,-74,-68,26,-30,95,-6,43,69,75,-24,63,42,37,4,-1,100,94,-67,17,100,9,63,-83,31,-32,43,20,-86,9,94,26,-80,-58,45,-50,-61,-9,53,-79,34,-54,-90,-21,42,-7,59,1
-55,-71,42,-5,29,-15,-72,36,19,95,75,33,-38,-51,37,-8,-79,-38,-2,-56,45,-64,-14,-91,-79,-22,-60,-51,-41,-8,100,-51,-25,-63,-15,0,-52,-48,-22,28,75,-3,6,-27,44,37,14,73,-97,-9
-45,84,99,40,-66,-43,68,88,-58,21,-97,-66,29,-74,0,51,37,-75,53,6,67,33,-59,7,-61,-43,-2,76,76,-25,65,-6,0,75,95,-8,-49,69,91,35,-26,48,8,-51,95,-16,98,12,17,45
18,-76,88,-70,57,-51,78,-79,-42,-48,70,8,54,48,90,18,10,7,-51,-91,-13,-39,-74,-2,-73,98,-6,-20,98,-44,-18,37,86,68,26,78,30,68,6,-96,63,89,-91,-4,-51,4,45,-72,81,-66
89,4,55,20,-92,70,99,69,-26,-55,-88,-2,76,27,-32,-43,91,23,23,0,-63,-61,-41,-53,73,34,-63,-60,3,52,4,-71,-10,47,-50,84,-16,5,45,-56,81,-35,54,1,-15,-90,-38,-28,-91,90
-61,-56,93,-25,60,-65,-43,73,54,3,-61,5,-65,-47,27,51,-26,-23,-39,38,39,30,-84,41,-76,65,-8,88,44,41,63,-93,92,-89,-24,70,-100,-17,19,47,-67,-71,50,90,57,79,-1,34,-48,-63
-73,-28,32,3,41,-52,61,48,30,-54,-63,-4,29,20,-21,-92,17,-96,-53,-4,47,-65,-33,-41,-36,3,-66,-22,27,84,63,-51,-83,-60,49,-13,89,22,70,41,-23,-84,60,-81,1,-3,19,-97,38,-62
89,-7,12,-49,-9,41,43,-77,26,-30,94,38,63,19,-45,-71,50,37,-12,-37,-2,86,-61,53,11,-65,90,75,15,-38,-34,88,-67,94,-65,-98,-94,13,-65,92,82,57,96,76,39,-78,-30,18,100,-41
-36,-72,-79,76,33,-50,95,30,-98,1,-7,83,-66,-81,98,45,-34,-79,-21,-9,-83,-81,5,78,33,47,-79,-77,-98,-33,-30,-5,9,34,95,93,37,-80,45,75,99,57,-36,1,-23,-70,32,-74,83,8
-53,88,-77,92,-96,-99,92,49,-5,-84,-11,21,56,-85,45,-33,42,91,-88,-86,50,25,-54,41,4,-38,44,-84,25,80,29,57,58,-40,81,56,13,61,-21,-24,-50,9,56,91,10,30,52,-74,-5,76
55,34,-29,38,41,48,45,99,2,-5,-41,31,-90,-72,9,97,-41,-15,-76,-27,-80,66,63,-34,-2,9,50,-37,19,-28,-24,64,-44,10,70,-3,-4,50,-85,99,-93,8,78,-2,-24,76,80,9,-5,93
-94,-49,44,-3,3,-34,-36,-8,-56,-20,100,-83,-16,-69,-76,11,4,-13,31,66,52,39,78,-27,41,75,70,84,86,35,-5,59,22,16,54,70,-86,-59,-58,-49,62,76,-1,6,-56,37,-33,62,66,-35
-88,89,-62,-97,-40,21,-52,74,-28,2,-62,7,-51,-72,-77,-66,-99,98,46,-31,-26,-39,55,-49,90,78,51,-45,29,-18,18,-49,33,-24,-89,-47,69,-100,-98,-67,-33,-39,43,-74,-100,-30,76,77,-76,92
66,-9,-4,26,-37,-36,66,25,-77,88,35,58,-12,-4,53,-4,56,50,-98,-50,55,-9,3,-28,-93,-12,53,73,13,-1,-92,-76,-35,22,-88,64,-80,52,13,-42,-83,94,9,40,21,44,-34,-25,48,88
20,-5,-87,82,23,29,-78,-42,-95,97,-90,-97,70,76,-40,-65,-96,88,-7,-89,65,83,-79,55,47,46,28,94,-97,-37,-75,53,-11,-90,-76,-64,-47,11,42,52,-74,-55,-5,-46,77,9,73,81,-57,0
84,80,93,28,-36,-65,20,70,32,58,93,-39,62,78,-18,-25,-94,-70,-23,-28,92,-20,65,-8,80,21,-93,-92,-40,-98,-5,-13,-8,8,-85,-50,17,52,53,21,-9,56,49,-92,40,64,98,-3,83,50
-9,55,-8,-31,62,46,2,-33,-59,29,14,83,26,47,-65,64,6,-39,-90,94,-86,-67,-32,-2,30,85,56,-49,83,-42,48,-95,56,-51,36,18,58,58,38,38,-34,91,54,79,-47,89,-8,-61,42,78
-19,23,-25,-28,-59,70,-72,-59,-84,65,-92,35,14,67,53,-64,0,75,-32,47,37,99,-55,-55,2,40,70,80,-9,57,-68,-52,35,25,93,40,-90,-53,94,-65,12,42,-54,6,25,3,0,-52,-85,13
3,10,98,-47,-7,-92,43,29,77,-13,54,7,42,-86,18,-9,94,54,75,-53,-67,98,-93,95,50,-7,-39,-55,-41,-82,89,-56,67,-25,-2,38,67,7,-14,-98,-7,-73,-90,-43,-77,99,73,-58,-92,74
37,-30,83,36,23,86,0,1,24,1,91,90,12,-91,-37,77,-96,42,72,-97,12,33,-53,35,-33,25,-22,-4,-41,-5,23,-66,61,-75,45,37,-15,65,-35,-11,90,0,82,40,-8,-2,-25,95,-33,-23
-29,-9,-8,-18,55,-31,7,88,-99,-16,11,63,-2,-87,-24,84,-85,-98,39,58,-8,-21,85,65,86,-69,-53,-33,-19,-1,89,7,-91,66,43,41,85,-24,-7,-40,89,8,-40,82,62,-38,52,80,1,-36
-67,-43,-28,-83,73,61,55,-7,68,25,83,12,67,-82,44,51,28,-19,78,-18,21,-38,-80,0,-22,6,-83,98,-29,-52,-30,-54,24,35,-9,-64,-53,60,-66,-36,-7,-15,-28,-27,1,-63,76,40,-3,-84
20,-29,77,48,-45,-22,27,54,26,-75,-6,73,-20,86,96,-61,23,-50,90,78,9,-23,-12,-4,-28,81,-37,72,77,41,47,15,97,-66,-86,-25,-11,26,42,75,-61,-31,-74,37,-8,44,76,-23,-35,81
-89,16,-40,-3,-54,-27,67,-60,-54,-69,-22,92,53,-43,61,-83,-53,16,-94,-62,-23,95,0,71,74,23,85,-36,31,-14,-35,-89,94,27,-15,-12,13,-93,77,58,70,55,-7,-63,31,-33,-85,-53,-94,-84
