275
275
-82,8,60,84,8,24,89,-3,38,-95,24,-99,47,58,-11,44,-27,58,12,8,-19,76,-54,58,93,21,14,31,-90,-83,91,22,-18,7,-55,23,89,94,26,-44,-95,27,45,-26,-82,93,-50,5,-33,94,6,47,-3,50,36,-25,-63,-79,-5,-33,-81,57,93,-61,-6,-73,-38,39,-16,-15,-98,-67,-72,52,-28,75,-89,-4,-22,-5,-34,29,-35,-49,9,-42,-59,-92,-68,96,-8,-57,-86,9,-68,17,4,-17,11,8,9,16,-25,-65,23,-58,15,97,-35,-29,-81,57,89,30,-84,18,-52,57,78,-21,73,-70,-100,67,-69,95,-78,-71,-40,89,-33,-42,36,-65,97,63,1,76,86,-76,57,-22,-28,66,-88,-49,-51,-82,20,96,93,-15,-1,53,-3,-13,-74,-32,-60,34,94,-65,-45,-13,-51,-45,-34,-69,-72,-76,-41,72,26,74,-10,34,-13,-67,37,-49,72,79,65,40,91,-50,-85,55,-28,-28,-61,-88,-95,-49,-55,-17,81,11,-28,30,53,81,-58,-91,28,46,15,-51,74,24,-21,25,-86,-91,-1,53,-74,-68,21,-96,20,83,-5,-64,13,3,88,-30,-23,6,-81,72,92,-23,14,-20,-56,70,-31,-45,35,-61,57,25,34,10,-6,-56,49,54,-75,-82,73,-42,1,-75,-63,41,91,47,-79,64,67,-50,88,-99,-73,50,-20,94,-15,-85,-51,-99,-22
41,26,-1,93,-33,82,70,-1,18,-27,-60,73,-39,-52,67,-45,-13,54,-78,28,-25,66,-52,-10,99,-34,80,-23,16,-78,-25,33,-63,7,-3,91,-90,-1,86,-78,-10,-40,-96,36,27,-96,47,3,-17,100,-79,57,-98,93,40,-20,-81,81,45,-24,-29,-1,20,11,26,-49,-56,-51,29,44,-64,16,-32,78,-33,-9,45,46,67,50,-85,16,-42,51,-24,-49,-13,61,53,46,59,-40,-85,55,76,65,-77,-28,47,57,-71,23,74,22,-9,72,84,46,89,-41,56,66,-15,45,100,-92,58,-47,-83,72,20,62,-71,-81,34,-83,86,-46,-52,-65,82,-54,-52,72,-27,99,-4,72,-24,-2,23,61,64,57,-49,79,31,-60,-33,-41,-53,-42,-87,80,-7,37,-20,-56,-32,-87,72,-27,-8,-91,92,-37,65,51,-73,-86,-47,-21,-65,-26,90,-53,87,-88,95,14,-70,49,57,24,-61,82,-32,84,78,-25,-25,-32,54,-37,-18,-69,53,-33,97,3,100,26,-95,-45,67,42,-17,-63,-83,-20,-43,-25,-64,-13,11,60,-46,-94,-37,-13,96,-91,-87,28,-63,73,-53,83,-80,21,-60,-72,-42,25,39,-86,65,8,94,12,76,-100,-71,-74,98,-83,57,-43,-53,80,-50,21,-79,30,-35,-89,-94,-51,-27,81,88,-10,-34,17,5,-69,-71,-33,-60,-90,-40,35,47,-26,25
26,98,71,29,30,-37,90,-42,45,36,-51,-32,78,-73,-40,65,-38,-2,56,-32,4,59,1,63,77,-61,-72,24,-94,25,-59,-15,-98,68,33,74,46,-62,-31,-84,-12,-17,-40,-95,100,-58,66,25,28,-46,76,-94,70,-20,43,-54,-62,75,-27,23,3,48,-74,52,71,71,91,-49,30,-74,-78,48,59,37,93,40,-89,-82,-89,84,99,-71,-2,76,-72,73,-85,49,46,41,75,44,-28,49,62,-85,44,-16,-15,94,0,7,100,-38,-92,53,-40,34,71,77,-42,26,15,-63,-83,-91,-69,-94,58,-61,-39,-1,-12,-8,-65,-55,-15,-61,-60,-15,8,34,75,-100,-90,-62,-98,46,37,-31,-17,-16,-45,62,55,23,55,83,29,-70,32,-25,48,28,41,-24,-2,89,-83,21,-53,19,2,22,88,-30,92,-7,9,-90,91,75,56,17,-84,-87,-29,76,16,13,-22,-100,-71,52,-40,-80,-48,-62,-69,-17,85,79,63,83,64,16,-67,-81,10,-45,-96,51,46,15,17,-63,28,53,-61,-93,35,62,-90,-5,-56,-21,-58,79,19,-22,-45,30,-44,-98,-24,100,16,24,43,-68,-61,67,-26,42,43,-29,2,59,-47,47,-36,14,-44,12,-68,20,5,-99,0,31,77,-6,-88,-74,-71,27,47,-61,70,-12,31,-1,67,27,18,-74,-27,73,-72,29,-71,-58,37,31,-18
26,51,75,0,-4,-69,-74,17,17,-84,15,-69,-39,3,27,-71,-69,-22,-20,2,14,-44,-15,-27,-93,54,-21,-16,-57,76,71,-62,-84,-50,3,42,-89,35,49,-96,-58,80,-94,-57,68,-30,79,39,46,-86,90,69,25,-43,-31,3,54,-17,-71,35,98,-69,-57,-76,-54,-49,-61,75,24,-65,55,-84,48,2,62,-23,6,67,94,-63,9,-45,99,36,-16,-31,-87,43,33,-98,-19,53,-71,81,-16,-37,100,81,50,81,39,22,-38,82,-77,2,-2,-77,52,-99,64,-29,58,88,-1,19,58,-43,12,36,-38,-2,-31,-2,20,-72,-33,25,70,68,-18,89,64,-82,-31,-63,-22,65,-6,-100,26,91,-35,39,-57,-25,98,47,83,76,-21,97,-53,-84,63,-19,26,27,-22,79,-15,-99,51,-38,51,20,-80,97,-25,-78,10,-68,74,-88,-33,23,-73,76,-35,71,43,74,31,-15,10,-16,79,78,-61,14,43,23,95,-98,88,8,45,-77,-39,-48,39,0,-46,38,88,56,-81,19,-84,44,-78,-1,-89,53,74,-23,80,66,-36,2,33,-67,-31,59,57,-26,66,95,64,30,91,100,91,-67,10,26,57,50,-74,3,-17,-44,82,37,73,37,86,65,9,83,43,81,-21,14,-84,88,8,-89,4,67,-7,-64,-6,64,-78,31,72,9,-92,77,-58,-31,4,92,-66
57,44,-27,17,92,-98,-76,-79,34,31,77,-42,90,-38,98,43,58,22,83,29,35,78,42,-58,-82,-11,34,-53,-94,10,78,67,-97,-73,87,61,-49,-61,-52,-21,-83,-16,-4,-27,-43,26,59,64,-20,-19,-91,-16,-98,20,-21,-55,35,56,11,19,52,32,42,-61,-31,94,-31,-18,66,-67,52,3,-79,7,-10,-56,90,3,77,70,24,48,-33,52,22,30,-36,1,-43,-85,70,48,43,34,-72,-48,-51,-82,-37,36,-47,-44,-21,-67,14,-47,81,-33,89,26,-59,98,19,-81,0,57,-75,37,-74,-82,92,1,-79,25,89,28,-30,31,99,68,87,-94,83,-36,-40,89,-83,91,66,97,57,-93,-48,-24,10,-97,24,-9,-14,-44,70,59,-66,-40,-52,-15,96,27,62,52,19,-73,47,-21,16,26,-79,-27,-16,30,-74,64,-82,-98,50,38,0,71,-81,70,53,-45,69,50,72,80,-60,-55,34,-70,-21,-90,52,-10,61,78,9,-14,66,-65,62,-6,32,-39,-81,-68,56,-28,-96,52,-15,-58,-72,38,23,21,-6,-76,7,35,-85,-21,64,-62,-28,25,100,7,93,-96,-33,-71,47,-17,19,56,13,-91,-27,-19,46,60,-28,67,-22,-89,-94,42,-55,52,74,41,50,4,-12,-18,86,23,-15,-14,-90,43,-25,-43,-11,97,-83,66,-9,60,-99,-84,85,-48,8
70,5,-2,45,11,25,58,-30,44,-49,-24,-32,-13,98,48,64,-74,-6,-40,-26,-49,36,-62,-66,56,46,-28,56,69,79,-96,-11,70,-50,40,-88,-31,76,-38,24,35,-77,88,-85,-11,98,65,68,-74,-46,-12,95,70,-19,-24,-60,-15,-66,-20,-84,77,44,29,53,-62,27,41,46,7,75,43,-95,-65,80,60,-76,46,27,15,56,-26,-25,58,-46,-50,25,-45,-37,62,57,13,29,-44,24,-71,68,-62,-88,-48,-53,-44,-13,-22,-39,45,7,-60,-96,-3,-66,-72,-100,-50,-8,-99,-98,-22,22,-98,-86,-27,24,35,-69,-11,-79,-92,86,-36,-52,23,-77,65,-82,98,-40,-14,-14,-11,-77,-81,92,-41,15,-56,42,9,8,-53,22,38,37,-48,55,36,95,-12,22,-75,94,-86,-89,-65,-74,-21,-77,92,31,22,61,-83,-69,13,-66,84,6,-64,-17,-28,-23,21,-66,-16,-28,32,-80,-82,95,-89,67,-58,27,-84,-11,19,28,-20,38,69,62,-60,-63,-69,79,61,28,-86,-59,-40,65,20,23,7,44,51,69,80,17,-80,-16,50,96,-50,27,-13,26,-63,-36,-4,-97,-78,63,94,-98,-60,52,-18,42,-6,-9,82,-31,91,25,1,-38,72,70,-31,-15,27,-100,9,78,14,80,16,1,-39,39,-68,36,64,29,-25,65,-3,63,-49,12,16,32,80,19,8
24,-40,54,73,-84,81,-16,-45,-2,73,-20,21,-40,66,7,53,94,-43,30,31,-45,18,99,-78,-21,64,-5,43,84,-14,88,-40,69,-92,95,-23,60,-62,79,48,10,-19,-41,-69,-61,-33,-20,72,-76,-26,91,94,-76,61,5,-43,4,-69,17,16,10,-78,-58,-36,81,25,61,47,0,33,-90,43,50,-99,64,-10,-71,31,31,11,-25,-40,-84,31,-87,-86,18,81,-83,28,-96,-76,64,-93,-4,29,-22,-57,63,-64,-95,-81,-52,11,-46,-51,77,12,36,39,-40,-87,-57,50,-16,81,13,76,44,-76,29,39,47,-44,66,49,5,-1,82,38,-14,-10,-12,25,-28,74,32,98,84,48,9,45,97,-98,45,-46,-40,-35,95,-32,1,65,-81,-68,84,-44,-4,-75,75,33,30,-78,10,-42,-45,56,80,67,55,18,98,-42,82,87,-84,51,57,-95,-20,38,-20,-81,93,-99,-65,11,67,79,88,-28,69,89,-48,-13,45,-35,-62,56,-49,-41,-64,-9,54,68,-55,41,93,-15,16,42,-37,18,55,-96,54,67,100,30,69,13,-93,-42,-10,29,13,-86,-84,-43,65,24,71,12,-60,91,-60,82,-12,-13,-16,57,92,24,54,10,-74,31,-94,68,28,-25,-62,-33,63,-98,24,1,85,28,-29,94,-35,-35,-88,-49,65,4,87,-73,81,70,-25,-16,-18,-9,-32
38,-36,-79,99,-75,-11,-2,47,10,-28,-23,11,40,-21,72,24,-71,85,94,-54,94,-24,-86,73,91,-99,13,-86,-28,59,-42,-63,-43,-52,52,32,34,43,-6,-29,-3,-42,-69,99,-23,-3,-37,98,63,-1,-58,4,-67,14,-71,58,-16,-100,-11,-87,-90,2,38,91,-87,-24,-59,-94,-74,31,-15,0,-9,-30,-67,-10,16,-38,31,49,4,27,-45,74,-34,-67,81,-85,82,-13,1,-83,10,20,-87,4,-43,10,-50,-52,92,-98,79,-67,99,-22,-55,-19,-14,-92,31,-21,-5,9,-75,-78,-60,-22,97,-61,-63,-31,93,91,-52,-73,56,-16,73,20,71,-10,64,-1,99,19,41,10,9,5,30,70,77,42,-1,99,65,99,100,-99,46,-1,-52,-50,63,-9,27,34,35,52,49,64,6,-36,-41,40,-67,24,20,89,-32,-80,-26,90,-66,-51,6,-1,-46,-55,80,54,-23,42,64,-38,-81,-74,15,100,-48,-32,-68,5,84,-99,95,41,-59,-65,71,100,24,-82,78,88,15,19,100,46,-26,-33,91,-96,73,-48,0,-72,28,-2,-15,-24,90,-6,-83,79,45,99,14,55,82,81,71,49,30,57,-65,-45,-91,-88,96,56,-90,-59,54,7,45,-11,13,48,91,81,-45,1,-89,93,-3,-94,-73,86,-77,47,4,-39,-85,16,2,55,55,-31,84,-43,-80,-36,18
-2,-46,-79,33,-48,91,-9,-49,37,-34,-92,-37,65,38,18,-36,-39,58,51,-39,77,-69,-1,-56,-53,-10,21,-49,96,65,-86,21,60,87,34,17,-43,-57,-85,47,-76,2,-14,-1,4,-96,14,56,-27,57,-58,97,-25,-24,14,53,-48,61,-79,39,3,-95,88,83,62,-30,-24,86,-36,-63,-8,36,15,59,100,-15,3,-10,92,-5,-51,49,70,34,-51,46,-83,-74,-82,-34,-99,-22,38,-39,-3,6,-94,68,26,-34,3,-42,48,-61,1,-39,-43,-3,35,-45,-2,66,11,0,17,-21,-52,-71,-36,6,13,45,-69,-41,-15,94,76,-71,-60,83,-41,59,-46,19,-92,-36,-28,64,-90,0,-96,40,77,59,-72,22,-34,-45,14,-36,-25,-86,-60,71,89,29,-59,-29,-96,-55,-75,-71,-71,54,13,51,-14,20,-60,-15,34,79,46,-91,72,-98,62,-65,-30,68,22,-13,-53,50,42,-57,-97,1,-71,-15,-65,79,77,70,37,22,82,5,-12,99,-18,32,95,29,94,13,67,-100,30,-2,-6,59,-9,-80,85,-81,73,-70,93,-31,-17,-60,99,70,-51,-10,17,39,32,-60,-64,76,-57,74,35,-27,44,90,9,2,-68,39,31,90,13,43,-72,-11,-61,-10,23,63,-65,-93,31,59,23,-96,65,-77,-51,95,67,-65,-79,25,1,100,-64,16,40,13,35,-46,-79
-89,52,-84,-31,32,11,-13,-39,46,-57,-4,14,50,28,-56,-18,-22,-53,22,-92,36,-82,86,97,-88,-34,-52,82,-83,100,-31,-52,26,59,-45,50,-29,30,20,4,-94,-8,-17,-86,41,47,-18,-47,-56,62,95,89,-48,58,79,48,18,-53,87,-78,-47,-85,59,41,-44,36,-4,36,33,61,-33,-93,90,3,-8,68,-41,-100,-39,28,-18,-83,-64,-87,46,47,59,-32,5,-45,35,-96,-74,53,-89,12,-43,54,37,-32,57,-66,-20,-4,-92,50,35,2,-74,67,-99,-27,-40,-85,-74,57,91,86,53,35,-30,17,-66,61,-26,-13,67,-45,100,38,-4,-92,70,45,23,-58,-4,-3,-64,65,25,61,99,-45,-31,-80,-39,-54,75,-49,67,53,100,74,-74,-58,93,53,67,90,-83,-24,70,94,-47,7,-69,-94,28,84,14,43,13,-85,-70,-4,76,-51,3,-79,1,-16,-38,58,83,68,-27,82,-6,37,29,62,52,-40,-43,18,9,-50,62,89,-63,-66,-91,-92,40,40,30,-1,76,80,-32,-17,14,20,98,-58,-6,76,-55,27,-6,-63,65,55,-73,-46,10,-20,41,41,66,-69,-66,-77,76,78,85,67,-78,67,22,-63,12,-1,71,86,54,-18,19,24,48,36,36,-73,-16,-71,60,75,24,-92,64,-81,12,1,-13,13,-78,-15,-39,-56,69,-74,-80,89,-39
